{'epoch_num': 10}
{'val_loss': 3.13309756400054, 'train_loss': 3.6514896278282554, 'bleu_score': 0.02228718517744795}
{'val_loss': 2.680922656170445, 'train_loss': 2.8712980389093343, 'bleu_score': 0.09167381390877519}
{'val_loss': 2.35865003302925, 'train_loss': 2.50264274248146, 'bleu_score': 0.14502814179174323}
{'val_loss': 2.128836000675982, 'train_loss': 2.227580667892757, 'bleu_score': 0.17023304032396724}
{'val_loss': 1.9668839118332442, 'train_loss': 2.0190457104092934, 'bleu_score': 0.1829432353285631}
{'val_loss': 1.8411989874481538, 'train_loss': 1.8582190769164066, 'bleu_score': 0.24615981356769287}
{'val_loss': 1.7335720998017898, 'train_loss': 1.7284834410002718, 'bleu_score': 0.2387611027125994}
{'val_loss': 1.6524859972568373, 'train_loss': 1.6224758865455857, 'bleu_score': 0.2466593865636491}
{'val_loss': 1.5883628150033209, 'train_loss': 1.5326487214559874, 'bleu_score': 0.2471867516108157}
{'val_loss': 1.5324853010128199, 'train_loss': 1.4580296605642113, 'bleu_score': 0.2715703621049911}
